reading,dN,reading_unc,dN_unc
1.5,5,0.5,0.5
3.5,5,0.5,0.5
5,5,0.5,0.5
6.1,5,0.5,0.5
8,5,0.5,0.5
9.5,5,0.5,0.5
11.1,5,0.5,0.5
12.8,5,0.5,0.5
14.4,5,0.5,0.5
