x-axis,1,2,F1
second,Volt,Volt,Volt
-100.0000E-06,-668.7735588E-03,-24.8815877E-03,-643.6487405E-03
-99.9000E-06,+561.8582375E-03,+1.0860737330E+00,-483.4274274E-03
-99.8000E-06,+507.5985446E-03,+1.1449380721E+00,-637.1040689E-03
-99.7000E-06,+513.5850100E-03,+1.1260319901E+00,-612.2334332E-03
-99.6000E-06,+512.9256311E-03,+1.1167827751E+00,-603.6347890E-03
-99.5000E-06,+514.0467923E-03,+1.1057557459E+00,-591.4903079E-03
-99.4000E-06,+514.6372180E-03,+1.0953097589E+00,-580.4707937E-03
-99.3000E-06,+515.9815212E-03,+1.0850866725E+00,-568.9081192E-03
-99.2000E-06,+517.2378025E-03,+1.0755169707E+00,-558.0809904E-03
-99.1000E-06,+518.2520845E-03,+1.0657430750E+00,-547.2979270E-03
-99.0000E-06,+519.4487661E-03,+1.0562267072E+00,-536.5927374E-03
-98.9000E-06,+520.6862805E-03,+1.0467041642E+00,-525.8280839E-03
-98.8000E-06,+521.9267619E-03,+1.0374169327E+00,-515.3153078E-03
-98.7000E-06,+522.7717486E-03,+1.0281549753E+00,-505.2087052E-03
-98.6000E-06,+523.4939657E-03,+1.0187296867E+00,-495.0545158E-03
-98.5000E-06,+524.4110837E-03,+1.0096184685E+00,-485.0397997E-03
-98.4000E-06,+525.3658563E-03,+1.0006736690E+00,-475.1344481E-03
-98.3000E-06,+526.2766181E-03,+991.5970782E-03,-465.1511384E-03
-98.2000E-06,+526.6065186E-03,+982.7936947E-03,-456.0348017E-03
-98.1000E-06,+527.6587267E-03,+974.4205238E-03,-446.6108516E-03
-98.0000E-06,+528.4154505E-03,+965.8055645E-03,-437.2321143E-03
-97.9000E-06,+529.1726868E-03,+957.0146522E-03,-427.6916667E-03
-97.8000E-06,+529.7850577E-03,+948.6634867E-03,-418.7424820E-03
-97.7000E-06,+530.7144659E-03,+939.7596405E-03,-408.9087806E-03
-97.6000E-06,+531.5373869E-03,+931.7537534E-03,-400.0823262E-03
-97.5000E-06,+532.3100916E-03,+923.3744071E-03,-390.9377446E-03
-97.4000E-06,+532.9915664E-03,+915.1803069E-03,-382.0510819E-03
-97.3000E-06,+533.7702353E-03,+907.4888519E-03,-373.5924548E-03
-97.2000E-06,+534.9138844E-03,+899.6998108E-03,-364.6632064E-03
-97.1000E-06,+536.1290315E-03,+892.1527389E-03,-355.9125799E-03
-97.0000E-06,+536.8954705E-03,+885.1206025E-03,-348.1154970E-03
-96.9000E-06,+538.0884916E-03,+877.4511228E-03,-339.2410677E-03
-96.8000E-06,+539.2980363E-03,+870.3843591E-03,-330.9758649E-03
-96.7000E-06,+539.9827494E-03,+863.2205821E-03,-323.1302914E-03
-96.6000E-06,+541.0884423E-03,+856.2857604E-03,-315.0918731E-03
